Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Estimates Start After
Albania,n/a,n/a,n/a,n/a,n/a,n/a,n/a,84.604,75.713,72.67,69.634,65.86,65.464,60.708,57.721,58.228,56.682,53.846,55.099,59.76,58.223,59.363,2010
Algeria,0,79.506,62.926,74.028,98.376,116.195,98.148,85.095,84.508,89.357,69.823,63.459,53.756,43.921,36.565,27.283,23.61,12.517,8.225,10.356,10.393,10.655,2009
Angola,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,104.542,102.053,70.948,63.967,51.302,42.493,20.627,20.816,31.5,36.285,35.022,29.909,2009
Antigua and Barbuda,n/a,n/a,n/a,n/a,n/a,n/a,n/a,41.614,93.082,88.983,108.256,118.919,124.946,114.567,112.482,87.255,85.158,63.738,62.138,81.139,69.581,68.629,2010
Argentina,n/a,n/a,n/a,n/a,n/a,n/a,n/a,34.508,37.569,42.963,45.001,53.69,164.974,139.455,127.027,87.125,76.457,67.098,58.52,58.704,49.102,43.346,2010
Armenia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,48.907,46.364,47.019,40.896,32.555,24.404,18.725,16.102,16.144,40.159,39.181,41.475,2010
Australia,16.256,21.375,27.382,30.379,31.485,30.933,29.141,25.796,23.658,22.463,19.463,17.055,14.987,13.135,11.897,10.847,9.924,9.627,11.705,16.923,20.521,22.816,2010
Austria,56.175,56.359,56.297,60.971,64.115,68.27,68.29,64.41,64.784,67.253,66.494,67.348,66.722,65.767,65.241,64.63,62.811,60.668,63.753,69.627,72.154,72.331,2010
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22.837,24.387,23.018,21.828,20.169,13.334,10.241,8.608,7.297,12.14,10.84,10.676,2010
The Bahamas,n/a,23.184,26.004,29.252,31.151,30.993,30.741,30.196,27.277,25.895,24.438,24.178,25.216,26.861,28.704,29.239,29.449,30.825,32.628,37.938,45.407,48.614,2010
